"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2025","101.20","101.20","101.20","101.20","0.15K","0.40%"
"09/23/2025","100.80","100.80","100.80","100.80","0.00K","0.80%"
"09/22/2025","100.00","100.00","100.00","100.00","0.10K","-0.10%"
"09/19/2025","100.10","100.10","100.10","100.10","0.20K","-1.86%"
"09/12/2025","102.00","102.00","102.00","102.00","0.03K","-0.97%"
"09/09/2025","103.00","104.00","104.00","102.90","8.60K","0.10%"
"09/04/2025","102.90","103.90","104.00","102.90","0.30K","-1.15%"
"09/02/2025","104.10","104.10","104.10","104.10","0.10K","-2.44%"
"08/28/2025","106.70","106.70","106.70","106.70","0.07K","0.19%"
"08/27/2025","106.50","106.50","106.50","106.50","0.10K","0.76%"
"08/19/2025","105.70","105.40","105.70","105.40","0.80K","5.07%"
"08/11/2025","100.60","100.60","100.60","100.60","0.02K","-2.24%"
"08/08/2025","102.90","102.90","102.90","102.90","0.01K","1.58%"
"08/04/2025","101.30","101.30","101.30","101.30","0.08K","-0.49%"
"07/31/2025","101.80","101.80","101.80","101.80","0.07K","-3.32%"
"07/24/2025","105.30","105.30","105.30","105.30","0.10K","1.06%"
"07/23/2025","104.20","104.20","104.60","104.20","1.03K","1.46%"
"07/22/2025","102.70","102.70","102.70","102.70","0.12K","1.58%"
"07/21/2025","101.10","101.10","101.10","101.10","0.10K","3.59%"
"07/09/2025","97.60","97.60","97.60","97.60","0.11K","0.05%"
"07/04/2025","97.55","97.55","97.55","97.55","0.60K","0.31%"
"07/03/2025","97.25","95.75","97.25","95.75","0.03K","4.35%"
"07/01/2025","93.20","93.30","93.30","93.20","0.70K","-0.85%"
"06/30/2025","94.00","94.00","94.00","94.00","1.68K","0.11%"
"06/27/2025","93.90","94.75","95.00","93.90","1.22K","1.68%"
"06/26/2025","92.35","92.90","92.90","92.35","0.78K","2.61%"
"06/25/2025","90.00","90.00","90.00","90.00","0.06K","0.95%"
"06/24/2025","89.15","89.25","89.25","89.15","0.10K","1.31%"
"06/16/2025","88.00","88.00","88.00","88.00","0.19K","-0.34%"
"06/13/2025","88.30","88.30","88.30","88.30","0.10K","0.46%"
"06/11/2025","87.90","85.90","87.90","85.90","0.09K","3.96%"
"06/05/2025","84.55","84.55","84.55","84.55","0.01K","-1.28%"
"05/23/2025","85.65","85.65","85.65","85.65","0.06K","-0.17%"
"05/19/2025","85.80","85.80","85.80","85.80","0.19K","-2.05%"
"05/16/2025","87.60","87.60","87.60","87.60","0.17K","-0.45%"
"05/14/2025","88.00","89.45","89.45","87.75","1.11K","1.21%"
"05/12/2025","86.95","86.85","86.95","86.85","0.22K","1.10%"
"05/08/2025","86.00","84.00","88.80","84.00","0.29K","6.17%"
"05/07/2025","81.00","81.00","81.00","81.00","0.03K","5.33%"
"04/22/2025","76.90","76.90","76.90","76.90","0.00K","7.63%"
"04/10/2025","71.45","71.45","71.45","71.45","0.26K","2.00%"
"04/09/2025","70.05","69.90","70.05","69.90","0.19K","-5.15%"
"04/04/2025","73.85","75.00","75.00","73.85","0.36K","-4.59%"
"04/02/2025","77.40","77.40","77.40","77.40","0.05K","-0.45%"
"04/01/2025","77.75","77.75","77.75","77.75","0.30K","-1.40%"
"03/31/2025","78.85","78.85","78.85","78.85","0.03K","-1.50%"
"03/28/2025","80.05","80.05","80.05","80.05","0.11K","-0.87%"
"03/26/2025","80.75","80.75","80.75","80.75","0.01K","-3.81%"
"03/21/2025","83.95","83.85","83.95","83.85","0.21K","2.32%"
"03/18/2025","82.05","81.75","82.05","81.75","0.51K","2.69%"
"03/17/2025","79.90","79.70","79.90","79.70","0.05K","5.13%"
"03/11/2025","76.00","76.75","76.75","76.00","0.40K","0.93%"
"03/10/2025","75.30","76.60","76.60","75.30","0.01K","0.80%"
"03/06/2025","74.70","74.70","74.70","74.70","0.20K","-1.39%"
"03/05/2025","75.75","75.75","75.75","75.75","0.20K","0.20%"
"03/04/2025","75.60","77.50","77.50","75.60","0.35K","-5.85%"
"02/27/2025","80.30","80.95","80.95","80.30","5.04K","-1.35%"
"02/25/2025","81.40","82.05","82.05","81.40","0.38K","4.36%"
"02/20/2025","78.00","78.00","78.00","78.00","0.10K","0.32%"
"02/12/2025","77.75","77.20","77.75","77.20","0.04K","-1.58%"
"02/05/2025","79.00","79.00","79.00","79.00","0.17K","0.45%"
"01/31/2025","78.65","78.65","78.65","78.65","0.02K","-0.51%"
"01/30/2025","79.05","79.05","79.05","79.05","0.10K","4.08%"
"01/23/2025","75.95","75.90","75.95","75.90","0.90K","-1.30%"
"01/21/2025","76.95","76.95","76.95","76.95","0.10K","0.20%"
"01/14/2025","76.80","76.80","76.80","76.80","0.12K","0.99%"
"01/13/2025","76.05","77.25","77.25","76.05","1.52K","-6.74%"
"01/02/2025","81.55","78.30","81.55","78.30","0.13K","3.10%"
"12/30/2024","79.10","79.10","79.10","79.10","0.20K","1.41%"
"12/16/2024","78.00","78.00","78.00","78.00","0.12K","-2.38%"
"12/13/2024","79.90","80.60","80.60","79.90","2.00K","-0.56%"
"12/10/2024","80.35","80.35","80.35","80.35","0.37K","-1.71%"
"12/09/2024","81.75","80.30","81.75","80.30","0.24K","-0.30%"
"12/04/2024","82.00","82.00","82.00","82.00","0.09K","1.93%"
"12/03/2024","80.45","79.80","80.45","79.80","0.18K","0.69%"
"11/29/2024","79.90","80.50","80.50","79.90","1.37K","0.06%"
"11/25/2024","79.85","79.85","79.85","79.85","0.04K","2.37%"
"11/20/2024","78.00","78.00","78.00","78.00","0.12K","-3.70%"
"11/15/2024","81.00","81.00","81.00","81.00","0.12K","2.79%"
"11/06/2024","78.80","77.80","78.80","77.80","0.04K","-5.46%"
"11/05/2024","83.35","83.35","83.35","83.35","0.70K","-4.09%"
"11/04/2024","86.90","86.90","86.90","86.90","0.70K","7.28%"
"11/01/2024","81.00","83.00","83.00","81.00","1.00K","1.06%"
"10/30/2024","80.15","80.15","80.15","80.15","0.04K","-4.01%"
"10/21/2024","83.50","83.50","83.50","83.50","0.90K","6.51%"
"10/16/2024","78.40","78.65","78.65","78.40","0.01K","-2.12%"
"10/14/2024","80.10","80.10","80.10","80.10","0.04K","-3.09%"
"10/07/2024","82.65","82.65","82.65","82.65","0.10K","0.18%"
"10/04/2024","82.50","82.50","82.50","82.50","0.03K","1.85%"
"10/03/2024","81.00","81.00","81.00","81.00","0.12K","0.56%"
"09/26/2024","80.55","80.55","80.55","80.55","0.49K","-0.68%"
"09/18/2024","81.10","81.10","81.10","81.10","0.10K","-3.91%"
"09/17/2024","84.40","83.85","84.40","83.85","0.29K","9.61%"
"09/03/2024","77.00","76.50","77.00","76.50","0.23K","0.65%"
"08/29/2024","76.50","76.50","76.50","76.50","0.10K","-7.22%"
"08/21/2024","82.45","82.45","82.45","82.45","0.10K","-4.68%"
"08/09/2024","86.50","86.50","86.50","86.50","0.04K","3.72%"
"08/08/2024","83.40","83.40","83.40","83.40","0.19K","-5.76%"
"08/07/2024","88.50","88.50","88.50","88.50","0.01K","12.10%"
"08/05/2024","78.95","77.70","78.95","77.70","0.26K","-11.79%"
"07/30/2024","89.50","90.80","90.80","89.50","0.22K","-0.06%"
"07/29/2024","89.55","89.55","89.55","89.55","0.10K","0.17%"
"07/26/2024","89.40","89.40","89.40","89.40","0.03K","3.59%"
"07/17/2024","86.30","86.30","86.30","86.30","0.05K","1.29%"
"06/27/2024","85.20","86.00","86.00","85.20","2.20K","-0.93%"
"06/25/2024","86.00","86.00","86.00","86.00","0.25K","-3.91%"
"06/19/2024","89.50","89.50","89.50","89.50","0.00K","4.99%"
"06/13/2024","85.25","85.25","85.25","85.25","0.03K","0.24%"
"06/07/2024","85.05","85.05","85.05","85.05","0.30K","-1.68%"
"06/03/2024","86.50","86.50","86.50","86.50","0.15K","-0.69%"
"05/31/2024","87.10","84.60","87.10","84.60","0.30K","-2.13%"
"05/30/2024","89.00","89.00","89.00","89.00","0.14K","17.11%"
"05/24/2024","76.00","76.00","76.00","76.00","0.03K","0.00%"
"05/15/2024","76.00","77.25","77.25","76.00","0.50K","-4.22%"
